Station_id,Location_Name,Latitude_Longitude,City,Status
ST-AR-001,Anjaw HQ,"28.1167, 96.8199",Anjaw,Active
ST-AR-002,Bichom HQ,"27.3049, 92.6123",Bichom,Active
ST-AR-003,Changlang HQ,"27.2699, 96.0602",Changlang,Active
ST-AR-004,Dibang Valley HQ,"28.8291, 95.9554",Dibang Valley,Active
ST-AR-005,East Kameng HQ,"27.5578, 93.0753",East Kameng,Active
ST-AR-006,East Siang HQ,"28.0742, 95.4178",East Siang,Active
ST-AR-007,Kamle HQ,"27.7312, 94.0965",Kamle,Active
ST-AR-008,Keyi Panyor HQ,"27.5064, 93.7336",Keyi Panyor,Active
ST-AR-009,Kra Daadi HQ,"27.9635, 93.7666",Kra Daadi,Active
ST-AR-010,Kurung Kumey HQ,"27.9864, 93.1578",Kurung Kumey,Active
ST-AR-011,Lepa Rada HQ,"27.9211, 94.7409",Lepa Rada,Active
ST-AR-012,Lohit HQ,"28.0350, 96.1714",Lohit,Active
ST-AR-013,Longding HQ,"26.8795, 95.3156",Longding,Active
ST-AR-014,Lower Dibang Valley HQ,"28.2150, 95.8788",Lower Dibang Valley,Active
ST-AR-015,Lower Siang HQ,"27.8007, 94.5650",Lower Siang,Active
ST-AR-016,Lower Subansiri HQ,"27.5326, 93.7823",Lower Subansiri,Active
ST-AR-017,Namsai HQ,"27.7140, 96.0160",Namsai,Active
ST-AR-018,Pakke-Kessang HQ,"27.1583, 93.1562",Pakke-Kessang,Active
ST-AR-019,Papum Pare HQ,"27.2864, 93.6188",Papum Pare,Active
ST-AR-020,Shi Yomi HQ,"28.6852, 94.2368",Shi Yomi,Active
ST-AR-021,Siang HQ,"28.4775, 94.8166",Siang,Active
ST-AR-022,Tawang HQ,"27.5879, 91.8637",Tawang,Active
ST-AR-023,Tirap HQ,"27.0302, 95.4979",Tirap,Active
ST-AR-024,Upper Siang HQ,"28.7312, 95.0377",Upper Siang,Active
ST-AR-025,Upper Subansiri HQ,"28.2596, 94.0938",Upper Subansiri,Active
ST-AR-026,West Kameng HQ,"27.2916, 92.4619",West Kameng,Active
ST-AR-027,West Siang HQ,"28.1971, 94.4841",West Siang,Active
ST-AS-028,Bajali HQ,"26.5407, 91.1687",Bajali,Active
ST-AS-029,Baksa HQ,"26.6276, 91.3389",Baksa,Active
ST-AS-030,Barpeta HQ,"26.3459, 91.0397",Barpeta,Active
ST-AS-031,Biswanath HQ,"26.7939, 93.3592",Biswanath,Active
ST-AS-032,Bongaigaon HQ,"26.4800, 90.5580",Bongaigaon,Active
ST-AS-033,Cachar HQ,"24.7586, 92.8817",Cachar,Active
ST-AS-034,Charaideo HQ,"27.0697, 95.0643",Charaideo,Active
ST-AS-035,Chirang HQ,"26.6464, 90.6242",Chirang,Active
ST-AS-036,Darrang HQ,"26.4373, 92.0047",Darrang,Active
ST-AS-037,Dhemaji HQ,"27.5945, 94.7192",Dhemaji,Active
ST-AS-038,Dhubri HQ,"26.1323, 90.1250",Dhubri,Active
ST-AS-039,Dibrugarh HQ,"27.4845, 94.9019",Dibrugarh,Active
ST-AS-040,Dima Hasao HQ,"25.4004, 93.0752",Dima Hasao,Active
ST-AS-041,Goalpara HQ,"26.0492, 90.6002",Goalpara,Active
ST-AS-042,Golaghat HQ,"26.5108, 93.9744",Golaghat,Active
ST-AS-043,Hailakandi HQ,"24.6847, 92.5646",Hailakandi,Active
ST-AS-044,Hojai HQ,"25.9629, 92.9818",Hojai,Active
ST-AS-045,Jorhat HQ,"26.7578, 94.2080",Jorhat,Active
ST-AS-046,Kamrup HQ,"26.1469, 91.2227",Kamrup,Active
ST-AS-047,Kamrup Metropolitan HQ,"26.1353, 91.8617",Kamrup Metropolitan,Active
ST-AS-048,Karbi Anglong HQ,"26.0713, 93.4553",Karbi Anglong,Active
ST-AS-049,Karimganj HQ,"24.5828, 92.3725",Karimganj,Active
ST-AS-050,Kokrajhar HQ,"26.4912, 90.1215",Kokrajhar,Active
ST-AS-051,Lakhimpur HQ,"27.1763, 94.1993",Lakhimpur,Active
ST-AS-052,Majuli HQ,"27.0220, 94.3274",Majuli,Active
ST-AS-053,Morigaon HQ,"26.2552, 92.3286",Morigaon,Active
ST-AS-054,Nagaon HQ,"26.3314, 92.7525",Nagaon,Active
ST-AS-055,Nalbari HQ,"26.3534, 91.3984",Nalbari,Active
ST-AS-056,Sivasagar HQ,"26.9835, 94.6394",Sivasagar,Active
ST-AS-057,Sonitpur HQ,"26.7678, 92.7014",Sonitpur,Active
ST-AS-058,South Salmara-Mankachar HQ,"25.7604, 89.8928",South Salmara-Mankachar,Active
ST-AS-059,Tamulpur HQ,"26.6421, 91.6234",Tamulpur,Active
ST-AS-060,Tinsukia HQ,"27.4880, 95.3602",Tinsukia,Active
ST-AS-061,Udalguri HQ,"26.7047, 92.0422",Udalguri,Active
ST-AS-062,West Karbi Anglong HQ,"25.8529, 92.5876",West Karbi Anglong,Active
ST-MA-063,Bishnupur HQ,"24.6267, 93.7600",Bishnupur,Active
ST-MA-064,Chandel HQ,"24.3312, 94.0011",Chandel,Active
ST-MA-065,Churachandpur HQ,"24.3469, 93.6994",Churachandpur,Active
ST-MA-066,Imphal East HQ,"24.8328, 94.0167",Imphal East,Active
ST-MA-067,Imphal West HQ,"24.7591, 93.8617",Imphal West,Active
ST-MA-068,Jiribam HQ,"24.8024, 93.1165",Jiribam,Active
ST-MA-069,Kakching HQ,"24.4975, 93.9836",Kakching,Active
ST-MA-070,Kamjong HQ,"24.8578, 94.5108",Kamjong,Active
ST-MA-071,Kangpokpi HQ,"25.1528, 93.9714",Kangpokpi,Active
ST-MA-072,Noney HQ,"24.8591, 93.6327",Noney,Active
ST-MA-073,Pherzawl HQ,"24.2596, 93.1906",Pherzawl,Active
ST-MA-074,Senapati HQ,"25.3934, 94.1502",Senapati,Active
ST-MA-075,Tamenglong HQ,"24.9859, 93.5040",Tamenglong,Active
ST-MA-076,Tengnoupal HQ,"24.3626, 94.2595",Tengnoupal,Active
ST-MA-077,Thoubal HQ,"24.6387, 93.9969",Thoubal,Active
ST-MA-078,Ukhrul HQ,"25.0983, 94.3632",Ukhrul,Active
ST-ME-079,East Garo Hills HQ,"25.6185, 90.6342",East Garo Hills,Active
ST-ME-080,East Jaintia Hills HQ,"25.2516, 92.4841",East Jaintia Hills,Active
ST-ME-081,East Khasi Hills HQ,"25.4024, 91.8317",East Khasi Hills,Active
ST-ME-082,Eastern West Khasi Hills HQ,"25.6520, 91.6232",Eastern West Khasi Hills,Active
ST-ME-083,North Garo Hills HQ,"25.8620, 90.7018",North Garo Hills,Active
ST-ME-084,Ri Bhoi HQ,"25.8764, 91.8568",Ri Bhoi,Active
ST-ME-085,South Garo Hills HQ,"25.3480, 90.5658",South Garo Hills,Active
ST-ME-086,South West Garo Hills HQ,"25.4446, 89.9970",South West Garo Hills,Active
ST-ME-087,South West Khasi Hills HQ,"25.3307, 91.3217",South West Khasi Hills,Active
ST-ME-088,West Garo Hills HQ,"25.6065, 90.2038",West Garo Hills,Active
ST-ME-089,West Jaintia Hills HQ,"25.4426, 92.2988",West Jaintia Hills,Active
ST-ME-090,West Khasi Hills HQ,"25.5814, 91.0851",West Khasi Hills,Active
ST-MI-091,Aizawl HQ,"23.7278, 92.7180",Aizawl,Active
ST-MI-092,Champhai HQ,"23.6317, 93.3493",Champhai,Active
ST-MI-093,Hnahthial HQ,"22.9664, 93.0103",Hnahthial,Active
ST-MI-094,Khawzawl HQ,"23.4878, 93.1403",Khawzawl,Active
ST-MI-095,Kolasib HQ,"24.1905, 92.7137",Kolasib,Active
ST-MI-096,Lawngtlai HQ,"22.3913, 92.7397",Lawngtlai,Active
ST-MI-097,Lunglei HQ,"22.9520, 92.6339",Lunglei,Active
ST-MI-098,Mamit HQ,"23.7564, 92.4515",Mamit,Active
ST-MI-099,Siaha HQ,"22.4883, 92.9822",Siaha,Active
ST-MI-100,Saitual HQ,"23.8129, 92.9728",Saitual,Active
ST-MI-101,Serchhip HQ,"23.3053, 92.8455",Serchhip,Active
ST-NA-102,Chümoukedima HQ,"25.8087, 93.7149",Chümoukedima,Active
ST-NA-103,Dimapur HQ,"25.9041, 93.7178",Dimapur,Active
ST-NA-104,Kiphire HQ,"25.8117, 94.8474",Kiphire,Active
ST-NA-105,Kohima HQ,"25.6619, 94.1019",Kohima,Active
ST-NA-106,Longleng HQ,"26.5839, 94.8045",Longleng,Active
ST-NA-107,Mokokchung HQ,"26.4796, 94.5105",Mokokchung,Active
ST-NA-108,Mon HQ,"26.6667, 95.0000",Mon,Active
ST-NA-109,Niuland HQ,"25.8505, 93.9180",Niuland,Active
ST-NA-110,Noklak HQ,"26.1124, 95.0124",Noklak,Active
ST-NA-111,Peren HQ,"25.4500, 93.6002",Peren,Active
ST-NA-112,Phek HQ,"25.6701, 94.3844",Phek,Active
ST-NA-113,Shamator HQ,"26.0714, 94.8745",Shamator,Active
ST-NA-114,Tseminyü HQ,"25.9410, 94.1685",Tseminyü,Active
ST-NA-115,Tuensang HQ,"26.2342, 94.7416",Tuensang,Active
ST-NA-116,Wokha HQ,"26.2423, 94.1921",Wokha,Active
ST-NA-117,Zünheboto HQ,"26.0124, 94.5124",Zünheboto,Active
ST-SI-118,Gangtok HQ,"27.3290, 88.6123",Gangtok,Active
ST-SI-119,Gyalshing HQ,"27.4185, 88.1808",Gyalshing,Active
ST-SI-120,Mangan HQ,"27.7497, 88.5212",Mangan,Active
ST-SI-121,Namchi HQ,"27.3031, 88.3786",Namchi,Active
ST-SI-122,Pakyong HQ,"27.2289, 88.6471",Pakyong,Active
ST-SI-123,Soreng HQ,"27.1902, 88.2007",Soreng,Active
ST-TR-124,Dhalai HQ,"23.8253, 91.9732",Dhalai,Active
ST-TR-125,Gomati HQ,"23.4987, 91.2999",Gomati,Active
ST-TR-126,Khowai HQ,"23.9564, 91.6421",Khowai,Active
ST-TR-127,North Tripura HQ,"24.0921, 92.2451",North Tripura,Active
ST-TR-128,Sepahijala HQ,"23.6658, 91.3200",Sepahijala,Active
ST-TR-129,South Tripura HQ,"23.1708, 91.6388",South Tripura,Active
ST-TR-130,Unakoti HQ,"24.1910, 92.0460",Unakoti,Active
ST-TR-131,West Tripura HQ,"23.9153, 91.3879",West Tripura,Active
